sent_tail_radius,repair_tail_frac,W_decay
10,0.6,-1.0
10,0.6,-0.1
10,0.6,-0.01
10,0.6,-0.001
10,0.6,-0.0001
10,0.6,0.0
10,0.6,0.0001
10,0.6,0.001
10,0.6,0.01
10,0.6,0.1
10,0.6,1.0
10,0.65,-1.0
10,0.65,-0.1
10,0.65,-0.01
10,0.65,-0.001
10,0.65,-0.0001
10,0.65,0.0
10,0.65,0.0001
10,0.65,0.001
10,0.65,0.01
10,0.65,0.1
10,0.65,1.0
10,0.7,-1.0
10,0.7,-0.1
10,0.7,-0.01
10,0.7,-0.001
10,0.7,-0.0001
10,0.7,0.0
10,0.7,0.0001
10,0.7,0.001
10,0.7,0.01
10,0.7,0.1
10,0.7,1.0
10,0.75,-1.0
10,0.75,-0.1
10,0.75,-0.01
10,0.75,-0.001
10,0.75,-0.0001
10,0.75,0.0
10,0.75,0.0001
10,0.75,0.001
10,0.75,0.01
10,0.75,0.1
10,0.75,1.0
10,0.8,-1.0
10,0.8,-0.1
10,0.8,-0.01
10,0.8,-0.001
10,0.8,-0.0001
10,0.8,0.0
10,0.8,0.0001
10,0.8,0.001
10,0.8,0.01
10,0.8,0.1
10,0.8,1.0
10,0.85,-1.0
10,0.85,-0.1
10,0.85,-0.01
10,0.85,-0.001
10,0.85,-0.0001
10,0.85,0.0
10,0.85,0.0001
10,0.85,0.001
10,0.85,0.01
10,0.85,0.1
10,0.85,1.0
10,0.9,-1.0
10,0.9,-0.1
10,0.9,-0.01
10,0.9,-0.001
10,0.9,-0.0001
10,0.9,0.0
10,0.9,0.0001
10,0.9,0.001
10,0.9,0.01
10,0.9,0.1
10,0.9,1.0
